"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"KP458762","1013","Human","4 (HA)","H3N2","China","N","2009/09/03","Influenza A virus (A/Anhui Fuyang Yingzhou/1273/2009(H3N2))","","","","","","p"
"CY108638","960","Human","4 (HA)","H3N2","China","N","2007/03/13","Influenza A virus (A/Anhui-Baohe/1245/2007(H3N2))","","","","","","p"
"CY108785","894","Human","4 (HA)","H3N2","China","N","2008/01","Influenza A virus (A/Anhui-Baohe/137/2008(H3N2))","","","","","","p"
"CY108639","960","Human","4 (HA)","H3N2","China","N","2007/01/30","Influenza A virus (A/Anhui-Huashan/1113/2007(H3N2))","","","","","","p"
"KP456321","1014","Human","4 (HA)","H3N2","China","N","2009/11/12","Influenza A virus (A/Beijing Chaoyang/11482/2009(H3N2))","","","","","","p"
"KP459340","1037","Human","4 (HA)","H3N2","China","N","2010/01/05","Influenza A virus (A/Beijing Chaoyang/138/2010(H3N2))","","","","","","p"
"KP458069","1698","Human","4 (HA)","H3N2","China","N","2010/01/06","Influenza A virus (A/Beijing Chaoyang/152/2010(H3N2))","","","","","","nc"
"KP457149","1698","Human","4 (HA)","H3N2","China","N","2010/01/05","Influenza A virus (A/Beijing Chaoyang/158/2010(H3N2))","","","","","","nc"
"KP457453","1036","Human","4 (HA)","H3N2","China","N","2010/01/11","Influenza A virus (A/Beijing Chaoyang/181/2010(H3N2))","","","","","","p"
"KP458302","1698","Human","4 (HA)","H3N2","China","N","2009/11/25","Influenza A virus (A/Beijing Huairou/11088/2009(H3N2))","","","","","","nc"
"KP458961","1698","Human","4 (HA)","H3N2","China","N","2011/01/30","Influenza A virus (A/Beijing Huairou/1155/2011(H3N2))","","","","","","nc"
"KP459201","1698","Human","4 (HA)","H3N2","China","N","2010/10/03","Influenza A virus (A/Beijing Huairou/1569/2010(H3N2))","","","","","","nc"
"KP459354","1698","Human","4 (HA)","H3N2","China","N","2010/12/14","Influenza A virus (A/Beijing Huairou/1891/2010(H3N2))","","","","","","nc"
"KP457305","1698","Human","4 (HA)","H3N2","China","N","2009/02/10","Influenza A virus (A/Beijing Xicheng/1108/2009(H3N2))","","","","","","nc"
"KP458484","1698","Human","4 (HA)","H3N2","China","N","2010/11/01","Influenza A virus (A/Beijing Xicheng/12611/2010(H3N2))","","","","","","nc"
"KP458428","1698","Human","4 (HA)","H3N2","China","N","2011/02/08","Influenza A virus (A/Beijing Xicheng/1293/2011(H3N2))","","","","","","nc"
"KP459322","1039","Human","4 (HA)","H3N2","China","N","2010/01/03","Influenza A virus (A/Beijing Xicheng/130/2010(H3N2))","","","","","","p"
"KP456692","1698","Human","4 (HA)","H3N2","China","N","2011/02/22","Influenza A virus (A/Beijing Xicheng/1409/2011(H3N2))","","","","","","nc"
"KP458924","1698","Human","4 (HA)","H3N2","China","N","2007/01/10","Influenza A virus (A/Beijing Xicheng/51/2007(H3N2))","","","","","","nc"
"CY108826","906","Human","4 (HA)","H3N2","China","N","2009/02","Influenza A virus (A/Beijing-Xicheng/1105/2009(H3N2))","","","","","","p"
"CY108640","960","Human","4 (HA)","H3N2","China","N","2007/01/08","Influenza A virus (A/Beijing-Xicheng/134/2007(H3N2))","","","","","","p"
"CY108641","960","Human","4 (HA)","H3N2","China","N","2007/01/08","Influenza A virus (A/Beijing-Xicheng/140/2007(H3N2))","","","","","","p"
"CY108642","960","Human","4 (HA)","H3N2","China","N","2007/01/15","Influenza A virus (A/Beijing-Xicheng/148/2007(H3N2))","","","","","","p"
"CY108643","960","Human","4 (HA)","H3N2","China","N","2007/01/15","Influenza A virus (A/Beijing-Xicheng/158/2007(H3N2))","","","","","","p"
"CY108644","960","Human","4 (HA)","H3N2","China","N","2007/01/15","Influenza A virus (A/Beijing-Xicheng/160/2007(H3N2))","","","","","","p"
"CY108645","960","Human","4 (HA)","H3N2","China","N","2007/01/21","Influenza A virus (A/Beijing-Xicheng/185/2007(H3N2))","","","","","","p"
"CY108834","892","Human","4 (HA)","H3N2","China","N","2009/01","Influenza A virus (A/Beijing-Xicheng/189/2009(H3N2))","","","","","","p"
"CY108772","881","Human","4 (HA)","H3N2","China","N","2008/10","Influenza A virus (A/Beijing-Xuanwu/1176/2008(H3N2))","","","","","","p"
"MG196330","1701","Human","4 (HA)","H3N2","China","N","2014/01/14","Influenza A virus (A/Beijing/0015/2014(H3N2))","","","","","","c"
"MG196331","1701","Human","4 (HA)","H3N2","China","N","2014/01/14","Influenza A virus (A/Beijing/0017/2014(H3N2))","","","","","","c"
"KF471234","1266","Human","4 (HA)","H3N2","China","N","2012/12/24","Influenza A virus (A/Beijing/01/2012(H3N2))","","","","","","p"
"KF471235","1266","Human","4 (HA)","H3N2","China","N","2012/12/24","Influenza A virus (A/Beijing/02/2012(H3N2))","","","","","","p"
"KF471236","1266","Human","4 (HA)","H3N2","China","N","2012/12/25","Influenza A virus (A/Beijing/03/2012(H3N2))","","","","","","p"
"KF471237","1266","Human","4 (HA)","H3N2","China","N","2012/12/25","Influenza A virus (A/Beijing/05/2012(H3N2))","","","","","","p"
"KF471241","1266","Human","4 (HA)","H3N2","China","N","2012/12/30","Influenza A virus (A/Beijing/100/2012(H3N2))","","","","","","p"
"KF471242","1266","Human","4 (HA)","H3N2","China","N","2012/12/30","Influenza A virus (A/Beijing/106/2012(H3N2))","","","","","","p"
"KF471243","1266","Human","4 (HA)","H3N2","China","N","2013/01/02","Influenza A virus (A/Beijing/109/2013(H3N2))","","","","","","p"
"KM006344","954","Human","4 (HA)","H3N2","China","N","2014/01/02","Influenza A virus (A/Beijing/110/2014(H3N2))","","","","","","p"
"KM006345","954","Human","4 (HA)","H3N2","China","N","2014/01/13","Influenza A virus (A/Beijing/1102/2014(H3N2))","","","","","","p"
"KM006346","954","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/11024/2013(H3N2))","","","","","","p"
"KM006347","954","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/11028/2013(H3N2))","","","","","","p"
"KM006348","954","Human","4 (HA)","H3N2","China","N","2013/12/25","Influenza A virus (A/Beijing/11039/2013(H3N2))","","","","","","p"
"KM006349","954","Human","4 (HA)","H3N2","China","N","2014/02/06","Influenza A virus (A/Beijing/1108/2014(H3N2))","","","","","","p"
"KM006350","954","Human","4 (HA)","H3N2","China","N","2014/01/02","Influenza A virus (A/Beijing/111/2014(H3N2))","","","","","","p"
"KM006351","954","Human","4 (HA)","H3N2","China","N","2014/01/13","Influenza A virus (A/Beijing/1122/2014(H3N2))","","","","","","p"
"KM006352","954","Human","4 (HA)","H3N2","China","N","2014/01/18","Influenza A virus (A/Beijing/1135/2014(H3N2))","","","","","","p"
"KM006353","954","Human","4 (HA)","H3N2","China","N","2014/01/20","Influenza A virus (A/Beijing/1144/2014(H3N2))","","","","","","p"
"KM006354","954","Human","4 (HA)","H3N2","China","N","2014/01/21","Influenza A virus (A/Beijing/1169/2014(H3N2))","","","","","","p"
"KM006355","954","Human","4 (HA)","H3N2","China","N","2013/12/18","Influenza A virus (A/Beijing/11810/2013(H3N2))","","","","","","p"
"KM006356","954","Human","4 (HA)","H3N2","China","N","2013/12/19","Influenza A virus (A/Beijing/11814/2013(H3N2))","","","","","","p"
"KM006357","954","Human","4 (HA)","H3N2","China","N","2013/12/22","Influenza A virus (A/Beijing/11822/2013(H3N2))","","","","","","p"
"KM006358","954","Human","4 (HA)","H3N2","China","N","2013/12/20","Influenza A virus (A/Beijing/11824/2013(H3N2))","","","","","","p"
"KM006359","954","Human","4 (HA)","H3N2","China","N","2013/12/24","Influenza A virus (A/Beijing/11839/2013(H3N2))","","","","","","p"
"MG196332","1701","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/11867/2013(H3N2))","","","","","","c"
"KM006360","954","Human","4 (HA)","H3N2","China","N","2013/12/28","Influenza A virus (A/Beijing/11868/2013(H3N2))","","","","","","p"
"KM006361","954","Human","4 (HA)","H3N2","China","N","2013/12/30","Influenza A virus (A/Beijing/11887/2013(H3N2))","","","","","","p"
"KM006362","954","Human","4 (HA)","H3N2","China","N","2014/01/24","Influenza A virus (A/Beijing/1210/2014(H3N2))","","","","","","p"
"KF471244","1266","Human","4 (HA)","H3N2","China","N","2013/01/02","Influenza A virus (A/Beijing/125/2013(H3N2))","","","","","","p"
"KM006363","954","Human","4 (HA)","H3N2","China","N","2013/11/11","Influenza A virus (A/Beijing/12720/2013(H3N2))","","","","","","p"
"KM006364","954","Human","4 (HA)","H3N2","China","N","2014/01/04","Influenza A virus (A/Beijing/128/2014(H3N2))","","","","","","p"
"KM006365","954","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/12952/2013(H3N2))","","","","","","p"
"KM006366","954","Human","4 (HA)","H3N2","China","N","2013/12/23","Influenza A virus (A/Beijing/12961/2013(H3N2))","","","","","","p"
"KJ577143","1377","Human","4 (HA)","H3N2","China","N","2013/12/27","Influenza A virus (A/Beijing/13-31/2013(H3N2))","","","","","","p"
"KJ577142","1377","Human","4 (HA)","H3N2","China","N","2013/12/20","Influenza A virus (A/Beijing/13-8/2013(H3N2))","","","","","","p"
"KM006367","954","Human","4 (HA)","H3N2","China","N","2014/01/04","Influenza A virus (A/Beijing/131/2014(H3N2))","","","","","","p"
"KM006368","954","Human","4 (HA)","H3N2","China","N","2013/12/29","Influenza A virus (A/Beijing/13188/2013(H3N2))","","","","","","p"
"KM006369","954","Human","4 (HA)","H3N2","China","N","2014/01/05","Influenza A virus (A/Beijing/134/2014(H3N2))","","","","","","p"
"KM006370","954","Human","4 (HA)","H3N2","China","N","2014/01/28","Influenza A virus (A/Beijing/1342/2014(H3N2))","","","","","","p"
"KF471245","1266","Human","4 (HA)","H3N2","China","N","2013/01/05","Influenza A virus (A/Beijing/136/2013(H3N2))","","","","","","p"
"KJ577144","1377","Human","4 (HA)","H3N2","China","N","2014/01/07","Influenza A virus (A/Beijing/14-3/2014(H3N2))","","","","","","p"
"KJ577145","1377","Human","4 (HA)","H3N2","China","N","2014/01/10","Influenza A virus (A/Beijing/14-30/2014(H3N2))","","","","","","p"
"KM006371","954","Human","4 (HA)","H3N2","China","N","2014/01/07","Influenza A virus (A/Beijing/14/2014(H3N2))","","","","","","p"
"KM006372","954","Human","4 (HA)","H3N2","China","N","2014/02/01","Influenza A virus (A/Beijing/146/2014(H3N2))","","","","","","p"
"KJ528271","1371","Human","4 (HA)","H3N2","China","N","2012/12/26","Influenza A virus (A/Beijing/15/2012(H3N2))","","","","","","p"
